

# Name                                                              Cortical

Left-Frontal-pole                                                          1
Left-Orbito-frontal-Cortex                                                 1
Left-Gyrus-rectus                                                          1
Left-F3-Pars-Orbitalis                                                     1
Left-F3-Pars-triangularis                                                  1
Left-Insula-gyri-brevi                                                     1
Left-Insula-gyri-longi                                                     1
Left-Gyrus-of-Heschl                                                       1
Left-T1-planum-temporale                                                   1
Left-O1                                                                    1
Left-Precuneus                                                             1
Left-Occipital-pole                                                        1
Left-F3-pars-opercularis                                                   1
Left-Inferior-frontal-sulcus                                               1
Left-Middle-frontal-sulcus                                                 1
Left-Subcallosal-area-BA13                                                 1
Left-Anterior-cingulate-cortex-BA32                                        1
Left-Middle-cingulate-cortex-anterior-part-BA24                            1
Left-Middle-cingulate-cortex-posterior-part-BA23                           1
Left-Precentral-sulcus-inferior-part                                       1
Left-Precentral-sulcus-superior-part                                       1
Left-Paracentral-lobule                                                    1
Left-Temporal-pole                                                         1
Left-T1-planum-polare                                                      1
Left-Occipito-temporal-sulcus                                              1
Left-Fusiform-gyrus                                                        1
Left-Postcentral-gyrus                                                     1
Left-Postcentral-sulcus                                                    1
Left-Superior-parietal-lobule-P1                                           1
Left-Angular-gyrus                                                         1
Left-Intraparietal-sulcus                                                  1
Left-Marginal-branch-of-the-cingulate-sulcus                               1
Left-Posterior-cingulate-cortex-dorsal                                     1
Left-Posterior-cingulate-cortex-retrosplenial-gyrus                        1
Left-Parieto-occipital-sulcus                                              1
Left-Anterior-occipital-sulcus-and-preoccipital-notch                      1
Left-O3                                                                    1
Left-O2                                                                    1
Left-Lingual-gyrus                                                         1
Left-Calcarine-sulcus                                                      1
Left-Cuneus                                                                1
Left-F2-rostral                                                            1
Left-F2-caudal                                                             1
Left-SFS-rostral                                                           1
Left-SFS-caudal                                                            1
Left-Central-sulcus-head-face                                              1
Left-Central-sulcus-upper-limb                                             1
Left-Central-operculum                                                     1
Left-Parietal-operculum                                                    1
Left-T1-lateral-anterior                                                   1
Left-T1-lateral-posterior                                                  1
Left-STS-anterior                                                          1
Left-STS-posterior                                                         1
Left-ITS-anterior                                                          1
Left-ITS-posterior                                                         1
Left-T2-anterior                                                           1
Left-T2-posterior                                                          1
Left-T3-anterior                                                           1
Left-T3-posterior                                                          1
Left-F1-prefrontal                                                         1
